Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
DFUS,Dimensional U.S. Equity Market ETF,Equity,"$12,727,900,000",-10.54%,"524,451",$56.91,0.25%,No,False,0.32%,-6.30%,5.70%,7.66%,N/A,"$1,534,916,534.33","$47,714,138.79","$213,018,433.90","$4,142,942,546.05","$5,767,002,202.05","$6,058,025,107.07",All Cap Equities,2021-06-14,0.09%,N/A,$0.68,2025-03-25,$0.14,1.20%,0.05,0.99,2461,30.42%,40%,20%,1099,$53.67,$63.76,N/A,N/A,41.46,A,A,B,B+,A-,N/A,6.36,26.10%,45.82%,95.58,11.59%,6.76%
PULS,PGIM Ultra Short Bond ETF,Bond,"$10,708,600,000",1.11%,"2,878,963",$49.52,0.06%,No,False,0.26%,0.19%,5.31%,5.12%,3.63%,"$1,584,578,725.00","$16,007,050.00","-$118,086,100.00","$4,371,390,250.00","$8,127,316,437.50","$9,793,226,417.50",Total Bond Market,2018-04-05,0.15%,N/A,$2.65,2025-04-01,$0.20,5.36%,0.00,0.04,472,26.90%,40%,20%,1099,$49.39,$49.58,$49.51,$49.53,63.97,A,A-,N/A,A,B,N/A,6.93,83.08%,70.07%,128.18,6.34%,1.33%
DFUV,Dimensional US Marketwide Value ETF,Equity,"$10,352,000,000",-6.50%,"399,303",$38.11,0.34%,No,False,1.36%,-6.09%,0.60%,N/A,N/A,"$6,161,002.00","-$26,654,667.13","-$8,030,111.15","$456,852,872.94","$1,542,686,934.76","$1,542,686,934.76",All Cap Equities,2022-05-09,0.21%,N/A,$0.69,2025-03-25,$0.17,1.83%,0.08,1.12,1306,24.34%,40%,20%,1099,$35.79,$43.14,N/A,N/A,41.18,A,A-,C+,B+,A-,N/A,6.24,15.15%,42.02%,118.59,9.64%,3.78%
CGGR,Capital Group Growth ETF,Equity,"$9,789,360,000",-12.64%,"3,437,684",$32.47,-0.28%,No,False,-0.31%,-6.80%,6.25%,9.28%,N/A,"$1,943,106,231.88","$138,033,746.86","$500,680,829.10","$4,690,212,935.54","$8,630,440,828.10","$8,776,584,727.20",Large Cap Growth Equities,2022-02-22,0.39%,N/A,$0.12,2024-12-26,$0.06,0.37%,0.05,1.09,103,41.64%,40%,20%,1099,$30.40,$36.80,N/A,N/A,41.77,A,A-,B+,C+,B,N/A,5.79,4.31%,31.88%,44.33,8.05%,7.36%
DFIV,Dimensional International Value ETF,Equity,"$9,394,330,000",9.26%,"930,573",$38.63,0.94%,No,False,6.24%,-3.11%,12.45%,9.54%,N/A,"$635,807,793.80","$9,230,222.53","$121,994,924.01","$1,841,784,378.95","$4,252,920,288.95","$4,731,236,048.95",Large Cap Value Equities,2021-09-13,0.35%,N/A,$1.43,2025-03-25,$0.14,3.73%,0.00,0.79,522,15.59%,40%,20%,1099,$34.86,$41.73,$38.41,$38.87,51.89,A,B+,B+,B-,A-,N/A,7.38,31.07%,85.32%,167.44,8.09%,4.40%
DFAT,Dimensional U.S. Targeted Value ETF,Equity,"$9,175,420,000",-14.62%,"509,602",$47.38,1.30%,No,False,2.31%,-8.05%,-4.21%,2.72%,N/A,"$160,781,413.57","-$9,573,836.78","$11,718,807.66","$494,560,383.30","$2,245,371,293.30","$3,055,656,444.50",Mid Cap Value Equities,2021-06-14,0.28%,N/A,$0.78,2025-03-25,$0.16,1.67%,0.00,0.94,1522,5.82%,40%,20%,1099,$43.66,$54.83,$47.03,$47.67,39.94,A,A-,A,B-,A-,N/A,5.79,38.52%,31.93%,124.0,2.84%,6.24%
DFAI,Dimensional International Core Equity Market ETF,Equity,"$8,978,000,000",6.86%,"1,506,605",$31.11,1.01%,No,False,5.46%,-2.25%,10.34%,6.86%,N/A,"$1,344,019,217.75","$17,928,147.44","$206,126,374.01","$3,004,749,992.16","$6,642,663,832.16","$8,135,600,092.16",Global Equities,2020-11-17,0.18%,N/A,$0.84,2025-03-25,$0.10,2.73%,0.08,0.84,3777,9.06%,40%,20%,1099,$28.32,$33.01,$30.97,$31.27,52.35,A,A,N/A,A-,A-,N/A,7.5,41.43%,88.24%,117.67,11.35%,6.81%
DFIC,Dimensional International Core Equity 2 ETF,Equity,"$8,182,610,000",7.95%,"1,103,446",$27.82,1.05%,No,False,5.78%,-1.65%,11.18%,6.95%,N/A,"$564,518,281.43","$59,676,415.32","$223,225,410.72","$2,034,275,843.35","$7,021,714,303.35","$7,116,950,683.35",Global Equities,2022-03-23,0.23%,N/A,$0.79,2025-03-25,$0.08,2.84%,0.00,1.01,4032,7.31%,40%,20%,1099,$25.23,$29.36,$27.69,$27.95,53.81,A,A,B-,B,B+,N/A,7.3,25.95%,83.12%,128.62,9.28%,5.76%
AVDV,Avantis International Small Cap Value ETF,Equity,"$7,731,090,000",7.56%,"626,025",$70.00,1.21%,No,False,6.77%,-0.89%,14.46%,7.89%,16.39%,"$975,012,015.00","$52,024,143.00","$211,910,265.00","$1,676,360,763.00","$5,138,799,843.00","$6,597,967,969.31",Foreign Small & Mid Cap Equities,2019-09-24,0.36%,N/A,$2.80,2024-12-17,$1.62,4.01%,0.14,1.07,1419,8.12%,40%,20%,1099,$62.50,$74.11,$69.64,$70.39,54.92,N/A,N/A,N/A,N/A,C+,N/A,6.35,31.73%,45.61%,239.32,1.53%,6.36%
AVEM,Avantis Emerging Markets Equity ETF,Equity,"$7,674,280,000",-1.21%,"720,194",$58.08,0.89%,No,False,4.03%,-5.53%,5.98%,2.73%,9.56%,"$768,095,565.00","$118,932,425.00","$318,690,475.00","$2,743,493,950.00","$6,304,514,600.00","$7,277,810,095.00",Emerging Markets Equities,2019-09-17,0.33%,N/A,$1.87,2024-12-17,$1.30,3.25%,0.12,0.80,3518,17.44%,40%,20%,1099,$53.62,$63.83,$57.86,$58.39,46.82,A-,A-,N/A,B,C,N/A,5.82,15.87%,32.44%,388.66,3.12%,4.59%
DFAX,Dimensional World ex U.S. Core Equity 2 ETF,Equity,"$7,509,190,000",4.52%,"813,025",$25.92,1.05%,No,False,5.37%,-3.01%,8.51%,5.12%,N/A,"$184,675,741.89",$0.00,"$32,181,988.74","$700,547,861.11","$2,227,595,741.11","$2,862,379,220.29",Small Cap Growth Equities,2021-09-13,0.29%,N/A,$0.78,2025-03-25,$0.07,3.03%,0.00,0.79,10112,6.07%,40%,20%,1099,$23.66,$27.73,$25.82,$26.04,51.10,A,A-,C+,B+,A-,N/A,6.76,3.33%,62.52%,211.86,7.11%,5.80%
AVUS,Avantis U.S. Equity ETF,Equity,"$7,142,170,000",-10.49%,"489,552",$86.49,0.57%,No,False,0.89%,-6.43%,3.16%,6.29%,16.25%,"$249,255,711.00","-$7,687,038.00","$69,363,318.00","$960,058,899.00","$4,265,380,629.00","$5,722,414,978.78",All Cap Equities,2019-09-24,0.15%,N/A,$1.26,2025-03-25,$0.30,1.46%,0.07,1.05,1992,24.50%,40%,20%,1099,$81.10,$97.44,N/A,N/A,41.61,A,A,N/A,A-,B,N/A,6.36,25.91%,45.74%,127.58,8.88%,5.88%
DUHP,Dimensional US High Profitability ETF,Equity,"$7,120,720,000",-7.03%,"1,054,398",$31.34,1.42%,No,False,1.72%,-5.15%,5.67%,7.96%,N/A,"$585,732,395.28","$23,492,310.23","$131,942,732.47","$2,066,070,351.49","$6,169,673,001.49","$6,382,174,741.49",Large Cap Blend Equities,2022-02-23,0.21%,N/A,$0.39,2025-03-25,$0.08,1.25%,0.00,0.98,173,38.13%,40%,20%,1099,$29.45,$34.57,$31.11,$31.59,43.31,A,A-,A-,B,A-,N/A,7.27,95.97%,82.37%,92.36,6.27%,5.36%
DFAU,Dimensional US Core Equity Market ETF,Equity,"$6,854,750,000",-10.69%,"1,022,467",$36.08,0.22%,No,False,0.42%,-6.47%,4.81%,6.98%,N/A,"$630,393,143.98","$56,318,581.46","$198,091,275.60","$1,592,948,737.23","$4,105,838,605.83","$5,988,689,085.83",All Cap Equities,2020-11-17,0.12%,N/A,$0.46,2025-03-25,$0.09,1.27%,0.04,0.98,2376,28.95%,40%,20%,1099,$34.02,$40.51,N/A,N/A,41.32,A,A,N/A,A-,A-,N/A,6.38,30.54%,46.78%,101.2,10.84%,6.83%
FTSM,First Trust Enhanced Short Maturity ETF,Bond,"$6,619,390,000",1.34%,"1,031,946",$59.92,0.07%,No,False,0.15%,0.38%,5.28%,4.35%,2.87%,"$508,793,750.00","-$14,963,150.00","$290,420,800.00","$78,081,750.00","$2,457,279,700.00","$1,639,548,700.00",Total Bond Market,2014-08-05,0.45%,N/A,$2.84,2025-03-31,$0.22,4.74%,0.00,0.03,435,19.33%,40%,20%,1099,$59.73,$59.92,$59.90,$59.94,74.65,A,B+,B,A,C+,N/A,7.07,97.74%,75.65%,211.82,5.16%,3.04%
DFCF,Dimensional Core Fixed Income ETF,Bond,"$6,544,680,000",1.60%,"718,860",$41.63,-0.14%,No,False,0.97%,-0.35%,5.91%,1.67%,N/A,"$502,705,753.68",$0.00,"$65,545,186.87","$1,784,293,468.48","$6,202,379,823.48","$6,642,320,993.48",Total Bond Market,2021-11-15,0.17%,N/A,$1.93,2025-03-25,$0.14,4.62%,0.00,0.33,1670,39.77%,40%,20%,1099,$41.06,$42.51,$41.57,$41.70,48.64,A-,A-,N/A,C,N/A,N/A,6.23,23.37%,41.73%,211.85,5.39%,0.82%
JIRE,JPMorgan International Research Enhanced Equity ETF,Equity,"$6,437,210,000",8.07%,"473,057",$63.23,1.07%,No,False,5.16%,-2.62%,8.28%,N/A,N/A,"-$818,406,000.00","$43,715,000.00","$76,438,500.00","$325,453,500.00","$790,796,170.39","$630,459,163.61",Global Equities,2022-06-10,0.24%,N/A,$1.77,2024-12-24,$1.77,2.84%,12.55,-1.00,206,16.85%,40%,20%,1099,$57.81,$67.21,$62.97,$63.55,51.83,A,A,N/A,B+,A-,N/A,7.76,74.05%,93.64%,69.85,14.35%,6.38%
SRLN,SPDR Blackstone Senior Loan ETF,Bond,"$6,427,930,000",-1.29%,"7,864,568",$40.40,0.42%,No,False,0.92%,-1.01%,5.23%,4.47%,5.99%,"-$1,244,389,825.75","-$205,577,664.10","-$1,207,311,294.75","$1,128,964,764.75","-$3,218,098,520.50","$5,922,430,693.75",High Yield Bonds,2013-04-03,0.70%,Charles Schwab,$3.47,2025-04-01,$0.27,8.58%,0.00,0.30,1,100.00%,40%,20%,1099,$39.59,$41.35,N/A,N/A,46.32,A,C,B+,A,B+,B+,0.0,N/A,N/A,N/A,N/A,N/A
JCPB,JPMorgan Core Plus Bond ETF,Bond,"$6,142,700,000",1.78%,"1,021,462",$46.33,-0.19%,No,False,0.67%,-0.36%,7.10%,2.08%,0.31%,"$1,178,686,000.00","$13,743,000.00","$280,435,000.00","$3,231,971,000.00","$5,873,207,000.00","$6,120,630,000.00",Total Bond Market,2019-01-28,0.38%,N/A,$2.37,2025-04-01,$0.19,5.11%,0.00,0.14,2401,19.45%,40%,20%,1099,$45.82,$47.32,$46.26,$46.43,47.82,B+,B-,N/A,B,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BUFR,FT Vest Laddered Buffer ETF,Equity,"$6,108,450,000",-6.66%,"1,341,133",$28.44,0.04%,No,False,0.39%,-4.50%,3.53%,6.84%,N/A,"$511,430,550.00","$19,841,500.00","-$8,861,500.00","$2,305,358,800.00","$4,983,232,750.00","$5,709,271,650.00",Volatility Hedged Equity,2020-08-10,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.60,14,83.33%,40%,20%,1099,$27.37,$30.79,N/A,N/A,41.38,A,C,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AVDE,Avantis International Equity ETF,Equity,"$5,948,380,000",7.98%,"466,751",$66.27,1.10%,No,False,5.90%,-1.76%,11.66%,6.99%,13.25%,"$330,186,030.00",$0.00,"$80,592,690.00","$1,422,736,980.00","$3,973,156,095.00","$4,961,522,861.13",Global Equities,2019-09-24,0.23%,N/A,$2.02,2024-12-17,$0.85,3.05%,0.09,0.94,3198,6.70%,40%,20%,1099,$59.98,$70.15,$65.81,$66.67,53.37,B+,A,N/A,B,A-,N/A,7.39,31.79%,85.64%,147.83,8.54%,6.31%
BOXX,Alpha Architect 1-3 Month Box ETF,Bond,"$5,776,830,000",1.33%,"892,606",$111.75,0.02%,No,False,0.13%,0.38%,4.71%,N/A,N/A,"$1,211,079,601.00","$20,128,752.00","$84,739,251.00","$3,297,495,925.00","$5,550,569,601.00","$5,550,569,601.00",Government Bonds,2022-12-28,0.19%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.00%,40%,20%,1099,$111.30,$111.77,$111.73,$111.77,89.00,A,A,B-,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ICSH,iShares Ultra Short-Term Bond Active ETF,Bond,"$5,748,150,000",1.47%,"1,447,735",$50.59,0.08%,No,False,0.18%,0.45%,5.56%,4.66%,2.98%,"$429,643,145.00","$55,547,345.00","$65,575,520.00","$149,356,375.00","-$594,637,925.00","$3,103,269,020.00",Corporate Bonds,2013-12-11,0.08%,N/A,$2.55,2025-04-01,$0.20,5.04%,0.00,0.02,289,35.09%,40%,20%,1099,$50.40,$50.58,$50.56,$50.60,78.72,A,A-,C+,A+,C,C,6.94,84.58%,70.39%,47.04,3.15%,0.61%
FPE,First Trust Preferred Securities & Income ETF,Preferred Stock,"$5,555,090,000",-1.21%,"1,502,471",$17.24,0.47%,No,False,0.94%,-1.88%,7.24%,3.21%,4.95%,"$62,605,750.00","$1,715,300.00","-$83,930,400.00","$314,397,750.00","-$1,196,277,963.50","$1,415,924,749.50",Preferred Stock/Convertible Bonds,2013-02-11,0.85%,N/A,$1.01,2025-03-27,$0.09,5.91%,0.00,0.47,248,15.13%,40%,20%,1099,$16.83,$17.91,$17.20,$17.28,43.56,A,C+,N/A,A,B+,A,6.79,91.72%,63.92%,225.47,6.85%,0.98%
BOND,PIMCO Active Bond Exchange-Traded Fund,Bond,"$5,478,510,000",1.57%,"425,683",$90.70,-0.22%,No,False,0.70%,-0.80%,6.53%,1.36%,-0.09%,"$394,382,600.00","$12,565,800.00","$86,518,400.00","$1,312,651,600.00","$1,972,341,600.00","$3,164,370,400.00",Total Bond Market,2012-02-29,0.70%,N/A,$4.61,2025-04-01,$0.38,5.09%,0.00,0.18,1243,28.13%,40%,20%,1099,$89.61,$93.21,N/A,N/A,46.23,A-,C+,B-,B,A-,B+,0.0,N/A,N/A,N/A,N/A,N/A
JMBS,Janus Henderson Mortgage-Backed Securities ETF,Bond,"$5,332,170,000",1.89%,"770,049",$44.45,-0.25%,No,False,0.59%,-0.57%,7.07%,1.48%,0.04%,"$605,038,750.00","$134,493,750.00","$268,446,750.00","$1,406,979,750.00","$4,606,076,750.00","$5,173,893,176.87",Mortgage Backed Securities,2018-09-12,0.22%,N/A,$2.44,2025-04-01,$0.19,5.47%,0.00,0.12,570,74.69%,40%,20%,1099,$43.98,$45.55,$44.37,$44.57,47.02,B-,B,A,A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CGGO,Capital Group Global Growth Equity ETF,Equity,"$5,017,160,000",-7.05%,"1,102,536",$27.16,-0.04%,No,False,1.27%,-5.96%,-0.85%,6.18%,N/A,"$571,323,937.76","$17,576,035.84","$151,630,911.76","$2,041,875,599.56","$4,561,234,372.12","$4,675,134,633.04",Large Cap Growth Equities,2022-02-22,0.47%,N/A,$0.32,2024-12-26,$0.13,1.18%,0.00,0.99,91,31.42%,40%,20%,1099,$25.38,$30.10,N/A,N/A,42.85,A,B+,A-,B,B,N/A,6.97,53.52%,71.63%,78.95,15.95%,8.77%
LMBS,First Trust Low Duration Opportunities ETF,Bond,"$4,892,600,000",1.58%,"529,267",$48.93,-0.04%,No,False,0.76%,0.04%,6.81%,3.83%,2.05%,"$183,405,150.00","$14,662,850.00","$27,154,750.00","$818,384,600.00","-$628,763,950.00","$85,909,850.00",Mortgage Backed Securities,2014-11-04,0.64%,N/A,$2.05,2025-03-27,$0.17,4.19%,0.05,0.05,1023,25.96%,40%,20%,1099,$48.56,$49.38,N/A,N/A,52.35,A,B-,C,A+,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ARKK,ARK Innovation ETF,Equity,"$4,868,630,000",-20.52%,"12,527,990",$45.12,0.09%,No,False,1.32%,-8.27%,4.88%,-8.30%,-1.63%,"-$179,891,000.00","-$117,433,850.00","-$47,587,650.00","-$2,047,758,750.00","-$3,412,472,300.00","$10,851,077,350.00",All Cap Equities,2014-10-31,0.75%,N/A,$0.00,2023-09-08,$0.36,0.00%,0.00,1.64,36,63.52%,40%,20%,1099,$39.85,$54.44,N/A,N/A,42.50,A+,C+,A+,C,B,C,4.63,19.58%,17.17%,15.51,4.31%,0.79%
JGRO,JPMorgan Active Growth ETF,Equity,"$4,722,300,000",-13.50%,"558,737",$70.09,0.26%,No,False,-0.16%,-6.70%,3.75%,N/A,N/A,"$1,140,433,250.00","$74,905,500.00","$257,744,250.00","$3,697,995,250.00","$4,803,068,000.00","$4,803,068,000.00",Large Cap Growth Equities,2022-08-08,0.44%,N/A,$0.08,2024-12-24,$0.08,0.12%,0.00,-1.23,118,46.85%,40%,20%,1099,$65.81,$78.76,N/A,N/A,41.65,A-,A-,N/A,C+,B-,N/A,6.19,12.43%,40.57%,30.35,9.90%,6.78%
CGUS,Capital Group Core Equity ETF,Equity,"$4,711,600,000",-10.10%,"1,403,656",$31.36,-0.41%,No,False,-0.32%,-6.52%,5.48%,9.14%,N/A,"$902,874,503.40","$67,591,290.52","$208,851,765.40","$2,328,744,599.70","$4,303,416,595.68","$4,381,940,867.24",All Cap Equities,2022-02-22,0.33%,N/A,$0.37,2025-03-31,$0.08,1.16%,0.00,0.92,70,38.19%,40%,20%,1099,$29.84,$35.08,N/A,N/A,40.36,A,B+,B+,B+,B+,N/A,6.22,13.61%,41.43%,100.44,18.74%,4.70%
CGCP, Capital Group Core Plus Income ETF,Bond,"$4,650,840,000",0.91%,"1,216,868",$22.15,-0.05%,No,False,0.96%,-0.85%,5.96%,1.40%,N/A,"$693,736,912.44","-$15,869,412.48","$104,134,981.86","$2,588,273,080.32","$4,586,263,607.46","$4,739,027,305.08",Total Bond Market,2022-02-22,0.34%,N/A,$1.15,2025-03-28,$0.09,5.19%,0.00,0.39,1171,33.02%,40%,20%,1099,$21.87,$22.67,$22.12,$22.18,45.92,A-,B,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PYLD,PIMCO Multisector Bond Active Exchange-Traded Fund,Bond,"$4,643,960,000",1.06%,"2,251,270",$25.85,-0.15%,No,False,0.54%,-1.01%,8.83%,N/A,N/A,"$1,969,843,600.00","$46,336,000.00","$381,235,600.00","$4,008,325,200.00","$4,610,632,000.00","$4,610,632,000.00",Total Bond Market,2023-06-22,0.69%,N/A,$1.55,2025-04-01,$0.12,6.01%,N/A,N/A,967,32.83%,40%,20%,1099,$25.58,$26.48,N/A,N/A,44.24,A,B+,N/A,C+,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DFEM,Dimensional Emerging Markets Core Equity 2 ETF,Equity,"$4,614,230,000",-2.23%,"918,132",$25.55,0.79%,No,False,3.69%,-5.52%,5.29%,N/A,N/A,"$357,846,241.12","$12,718,384.21","$12,718,384.21","$1,144,834,151.17","$4,387,860,271.17","$4,387,860,271.17",Emerging Markets Equities,2022-04-26,0.39%,N/A,$0.68,2025-03-25,$0.06,2.69%,0.11,0.87,6506,15.94%,40%,20%,1099,$23.69,$27.98,$25.48,$25.68,46.35,A,A-,C+,B+,A-,N/A,5.73,11.15%,30.89%,344.24,2.97%,3.98%
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Commodity,"$4,481,840,000",-0.77%,"5,419,373",$12.89,0.78%,No,False,3.04%,-3.23%,-4.53%,-5.81%,15.48%,"$515,244,600.00","-$103,209,900.00","-$109,610,550.00","$884,400.00","-$1,486,876,150.00","$3,507,668,350.00",Commodities,2014-11-07,0.59%,N/A,$0.57,2024-12-23,$0.58,4.46%,0.00,0.52,2,100.00%,40%,20%,1099,$12.14,$13.98,$12.82,$12.96,45.45,A+,B+,N/A,N/A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
